0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.655685188190867130e-01,1.000000000000000056e-01,-1.196324583937885683e-01
3.311370376381734485e-03,3.311377356004621131e-01,9.760735083212424001e-02,-2.392654891573995357e-01
9.934125088390977076e-03,4.967198113717264385e-01,9.282204104897624763e-02,-3.593262863422478359e-01
1.986852131582550474e-02,6.623265857604039297e-01,8.563551532213128925e-02,-4.802397321411054909e-01
3.311505303103358389e-02,8.279693372378729155e-01,7.603072067930917444e-02,-6.024275867390609385e-01
4.967443977579104331e-02,9.936585169320260036e-01,6.398216894452796177e-02,-7.263075208998812649e-01
6.954761011443155727e-02,1.159403441154386982e+00,4.945601852653033759e-02,-8.522918987316795425e-01
9.273567893751930025e-02,1.325211927381880761e+00,3.241018055189674729e-02,-9.807862145017290922e-01
1.192399174851569155e-01,1.491089857971673371e+00,1.279445626186216656e-02,-1.112187082564693563e+00
1.490617146445903929e-01,1.657040655548490227e+00,-9.449285389431703874e-03,-1.246879674060351384e+00
1.822025277555602008e-01,1.823064654041139487e+00,-3.438687887063873044e-02,-1.385234488917915563e+00
2.186638208363829994e-01,1.989158350106502215e+00,-6.209156864899704337e-02,-1.527603348101280067e+00
2.584469878385130537e-01,2.155313521628346329e+00,-9.264363561102265110e-02,-1.674314490580972592e+00
3.015532582710799825e-01,2.321516203712882476e+00,-1.261299254226421196e-01,-1.825666664338161382e+00
3.479835823453376609e-01,2.487745518866289363e+00,-1.626432587094053528e-01,-1.981922113412687869e+00
3.977384927226634281e-01,2.653972367713117730e+00,-2.022817009776591013e-01,-2.143298386681220524e+00
4.508179400769257716e-01,2.820158000680093924e+00,-2.451476687112835173e-01,-2.309958932066494608e+00
5.072211000905276768e-01,2.986252510520673642e+00,-2.913468473526134028e-01,-2.482002495540996279e+00
5.669461503009411985e-01,3.152193311237804441e+00,-3.409868972634333417e-01,-2.659451420217240791e+00
6.299900165256973050e-01,3.317903701324190102e+00,-3.941759256677781487e-01,-2.842239038002120743e+00
6.963480905521810538e-01,3.483291647977017735e+00,-4.510207064278205502e-01,-3.030196462828193660e+00
7.660139235117213730e-01,3.648248972550442559e+00,-5.116246356843844323e-01,-3.223039224059303098e+00
8.389789029627302552e-01,3.812651162769798763e+00,-5.760854201655705165e-01,-3.420354309149210792e+00
9.152319262181262127e-01,3.976358078766014881e+00,-6.444925063485547057e-01,-3.621588297099336717e+00
9.947590877934464615e-01,4.139215849996421781e+00,-7.169242722905414533e-01,-3.826037333455169609e+00
1.077543404793374959e+00,4.301060268542743259e+00,-7.934450189596448100e-01,-4.032839694551210385e+00
1.163564610164229851e+00,4.461721959610733812e+00,-8.741018128506690132e-01,-4.240971586576062435e+00
1.252799049356444483e+00,4.621033540923804139e+00,-9.589212445821903019e-01,-4.449246608086101062e+00
